"total_count","id","memb_id","device_desc","get_time","heart_rate","create_dttm"
196,714,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-12-09 03:16:01",64,"2023-12-09 03:17:15"
196,706,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-12-07 17:55:20",64,"2023-12-07 17:56:28"
196,697,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-12-04 22:59:00",73,"2023-12-04 23:00:43"
196,694,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-12-04 15:25:57",108,"2023-12-04 15:27:05"
196,683,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-11-30 17:00:32",73,"2023-11-30 17:01:39"
196,682,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-11-30 17:00:08",75,"2023-11-30 17:01:15"
196,673,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-11-29 19:40:40",67,"2023-11-29 19:41:46"
196,671,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-11-29 17:10:17",61,"2023-11-29 17:11:22"
196,670,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-11-29 17:09:55",66,"2023-11-29 17:11:00"
196,664,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-11-29 02:47:26",61,"2023-11-29 02:48:30"
196,621,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-11-24 20:24:44",60,"2023-11-24 20:25:48"
196,610,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-11-23 15:24:39",62,"2023-11-23 15:25:43"
196,604,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-11-20 15:29:23",102,"2023-11-20 15:35:43"
196,602,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-11-19 18:51:29",59,"2023-11-19 18:52:33"
196,601,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-11-18 22:31:46",67,"2023-11-18 22:32:48"
196,598,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-11-17 17:07:53",71,"2023-11-17 17:08:55"
196,596,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-11-16 17:32:02",62,"2023-11-16 17:33:04"
196,592,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-11-16 15:35:22",101,"2023-11-16 15:52:41"
196,589,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-11-16 15:24:18",116,"2023-11-16 15:31:00"
196,577,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-11-13 23:27:59",70,"2023-11-13 23:39:49"
196,576,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-11-12 16:18:37",61,"2023-11-12 16:19:38"
196,574,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-11-10 18:25:05",68,"2023-11-10 18:27:04"
196,573,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-11-09 00:42:28",74,"2023-11-09 00:49:01"
196,572,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-11-08 03:25:11",62,"2023-11-08 05:42:20"
196,571,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-11-08 03:11:45",54,"2023-11-08 03:12:45"
196,570,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-11-08 01:55:38",60,"2023-11-08 02:00:57"
196,568,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-11-07 19:43:44",70,"2023-11-07 19:44:44"
196,567,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-11-07 19:26:52",62,"2023-11-07 19:27:52"
196,569,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-11-07 15:34:34",65,"2023-11-07 19:54:25"
196,566,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-11-06 07:15:27",59,"2023-11-07 01:28:26"
196,565,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-11-04 20:52:08",63,"2023-11-07 01:28:26"
196,564,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-11-03 23:24:11",65,"2023-11-07 01:28:26"
196,563,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-11-02 19:01:46",63,"2023-11-07 01:28:26"
196,562,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-11-01 19:15:33",68,"2023-11-07 01:28:26"
196,560,"52a62c11-7c4f-4912-91c9-ff5c145328cd",갤럭시워치(Galaxy Watch),"2023-11-01 19:14:31",65,"2023-11-07 01:28:26"
